"state","county.x","pop_summed","area_summed","cattled_farms_summed","cattle_count_summed","broiler_farms_summed","broiler_count_summed","layer_farms_summed","layer_count_summed","hog_farms_summed","hog_count_summed","sheep_farms_summed","sheep_count_summed","Population..2020.census.","Area..mi.2.","cattle.farms.x","cattle.count.x","hog.farm.x","hog.count.x","sheep.farm.x","sheep.count.x","broiler.farm.x","broiler.count.x","layer.farm.x","layer.count.x","X","county.y","cattle.farms.y","cattle.count.y","hog.farm.y","hog.count.y","layer.farm.y","layer.count.y","broiler.farm.y","broiler.count.y","sheep.farm.y","sheep.count.y","surrounding_population_density","population_density","animal_density","surrounding_animal_density"
"alabama","stclair",1350008,5050.53,2088,101313,304,132635648,628,553975,156,1224,147,3166,91103,631.9,289,12590,20,49,17,228,55,26481318,106,2313,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,267.300263536698,144.173128659598,19.9240386137047,20.059874904218
"alabama","sumter",163443,6487.79,1408,111689,72,31797839,197,346636,44,3786,72,2901,12345,903.89,208,21549,5,3678,8,322,0,0,12,339,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,25.192399877308,13.6576353317328,23.8402903008109,17.215261283118
"alabama","talladega",552396,4574.47,1507,82986,205,98575678,424,413521,97,829,97,2383,82149,736.78,259,15468,12,64,16,534,17,3504170,61,2188,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,120.756284334579,111.497326203209,20.9940552132251,18.141117987439
"alabama","tallapoosa",404423,4983.4,1625,125100,162,71349058,408,586037,65,398,73,1762,41311,716.52,172,8367,9,61,6,156,10,3868900,43,1092,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,81.1540313841955,57.6550549879975,11.6772734885279,25.103343099089
"alabama","tuscaloosa",1047351,6646.92,1277,78709,111,47898833,409,123808,116,888,51,1058,227036,1321.75,167,6805,6,129,10,-47,22,6542365,71,2164,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,157.569370475348,171.769245318706,5.14847739738982,11.841424298773
"alabama","walker",1183301,6586.77,2581,121531,428,209137654,640,2060181,140,1327,128,2655,65342,791.19,186,6414,24,155,7,256,21,12124182,107,12037,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,179.648143171843,82.5869892187717,8.10677586926023,18.4507732925243
"alabama","washington",731025,7574.39,1536,85794,114,65884868,507,480461,96,646,116,2730,15388,1080.21,215,8126,10,143,32,413,7,-47,64,97816,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,96.5127224766615,14.2453782134955,7.5226113440905,11.3268527234536
"alabama","wilcox",140606,6600.94,1366,139881,105,61753604,198,6075,47,628,56,1088,10600,888.5,165,13779,21,408,10,88,0,0,22,904,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,21.3009056285923,11.9302194710186,15.5081598199212,21.1910727866031
"alabama","winston",271275,4205.8,2565,123379,436,213470968,498,2009388,102,968,122,2834,23540,612.98,253,8641,4,42,10,224,14,1814766,40,105045,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,64.500213990204,38.4025579953669,14.0967078860648,29.3354415331209
"alabama","monroe",352631,7314.48,1337,88805,95,47993846,333,4241,106,1118,79,1561,19772,1025.67,208,14203,2,-47,14,200,5,-47,25,722,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,48.2099889534184,19.2771554203594,13.8475338071699,12.1409860988067
