County,2020,2021,2022,Rank in state,Percent change,Percent change,Rank in state,State
Napa,"81,905","87,422","86,863",7,6.7,-0.6,25,California
Nevada,"66,471","70,883","72,759",17,6.6,2.6,5,California
Orange,"75,572","81,567","83,553",9,7.9,2.4,8,California
Placer,"74,046","79,711","81,791",11,7.7,2.6,6,California
Plumas,"54,643","58,692","59,387",27,7.4,1.2,12,California
Riverside,"48,265","51,468","51,415",40,6.6,-0.1,20,California
Sacramento,"57,243","61,775","61,558",24,7.9,-0.4,23,California
San Benito,"59,893","62,148","61,693",23,3.8,-0.7,26,California
San Bernardino,"45,968","49,570","49,270",44,7.8,-0.6,24,California
San Diego,"67,536","73,350","74,326",15,8.6,1.3,11,California
San Francisco,"134,758","159,968","155,819",3,18.7,-2.6,44,California
San Joaquin,"51,317","55,827","54,183",34,8.8,-2.9,50,California
San Luis Obispo,"63,024","68,717","67,951",18,9,-1.1,33,California
San Mateo,"141,882","174,668","175,070",1,23.1,0.2,18,California
Santa Barbara,"68,801","76,910","75,720",14,11.8,-1.5,36,California
Santa Clara,"124,637","144,552","144,399",4,16,-0.1,21,California
Santa Cruz,"78,299","88,997","86,365",8,13.7,-3,52,California
Shasta,"51,246","54,546","54,120",35,6.4,-0.8,28,California
Sierra,"45,192","46,767","47,877",47,3.5,2.4,9,California
Siskiyou,"49,301","52,474","51,788",39,6.4,-1.3,35,California
Solano,"57,029","59,873","58,273",28,5,-2.7,47,California
Sonoma,"71,866","78,558","77,900",12,9.3,-0.8,29,California
Stanislaus,"48,532","52,130","51,015",42,7.4,-2.1,39,California
Sutter,"49,536","53,408","52,005",38,7.8,-2.6,46,California
Tehama,"44,883","47,750","47,315",48,6.4,-0.9,30,California
Trinity,"33,472","35,204","36,314",58,5.2,3.2,3,California
Tulare,"45,523","48,626","47,295",49,6.8,-2.7,48,California
Tuolumne,"49,653","53,216","52,806",37,7.2,-0.8,27,California
Ventura,"68,273","74,527","76,375",13,9.2,2.5,7,California
Yolo,"60,305","66,308","64,279",22,10,-3.1,54,California
Yuba,"45,680","49,013","48,204",46,7.3,-1.7,37,California
Adams,"48,594","53,185","54,681",31,9.4,2.8,30,Colorado
Alamosa,"40,636","43,991","43,071",56,8.3,-2.1,45,Colorado
Arapahoe,"69,132","72,518","76,304",13,4.9,5.2,20,Colorado
Archuleta,"50,707","54,076","55,120",30,6.6,1.9,34,Colorado
Baca,"44,958","50,030","45,659",48,11.3,-8.7,56,Colorado
Bent,"30,401","35,097","32,978",63,15.4,-6,52,Colorado
Boulder,"81,673","93,472","98,553",7,14.4,5.4,19,Colorado
Broomfield,"73,540","81,176","86,930",10,10.4,7.1,10,Colorado
Chaffee,"56,194","62,699","64,561",23,11.6,3,28,Colorado
Cheyenne,"45,294","68,712","52,629",35,51.7,-23.4,63,Colorado
Clear Creek,"68,755","73,090","77,455",12,6.3,6,16,Colorado
Conejos,"41,165","45,543","43,300",54,10.6,-4.9,51,Colorado
Costilla,"39,514","41,146","39,571",59,4.1,-3.8,49,Colorado
Crowley,"22,614","25,050","22,240",64,10.8,-11.2,59,Colorado
Custer,"47,761","51,005","50,780",39,6.8,-0.4,41,Colorado
Delta,"42,775","46,231","47,593",45,8.1,2.9,29,Colorado
Denver,"86,823","103,180","112,290",5,18.8,8.8,7,Colorado
