County,2020,2021,2022,Rank in state,Percent change,Percent change,Rank in state,State
Bristol,"60,325","63,996","64,103",11,6.1,0.2,11,Massachusetts
Dukes,"84,852","85,929","87,621",5,1.3,2,3,Massachusetts
Essex,"71,952","77,593","78,205",8,7.8,0.8,8,Massachusetts
Franklin,"60,460","62,928","62,944",12,4.1,0,12,Massachusetts
Hampden,"57,736","60,710","60,312",13,5.2,-0.7,14,Massachusetts
Hampshire,"63,522","59,264","59,802",14,-6.7,0.9,7,Massachusetts
Middlesex,"90,955","99,416","101,729",3,9.3,2.3,2,Massachusetts
Nantucket,"93,597","101,412","103,033",2,8.3,1.6,5,Massachusetts
Norfolk,"95,831","105,984","109,284",1,10.6,3.1,1,Massachusetts
Plymouth,"74,093","79,053","80,062",7,6.7,1.3,6,Massachusetts
Suffolk,"87,433","97,172","96,933",4,11.1,-0.2,13,Massachusetts
Worcester,"61,287","64,477","64,829",9,5.2,0.5,9,Massachusetts
Alcona,"46,209","49,942","49,420",31,8.1,-1,43,Michigan
Alger,"38,423","41,982","41,171",76,9.3,-1.9,66,Michigan
Allegan,"49,943","54,227","54,948",16,8.6,1.3,13,Michigan
Alpena,"44,783","48,558","48,633",32,8.4,0.2,24,Michigan
Antrim,"51,960","56,378","56,234",14,8.5,-0.3,30,Michigan
Arenac,"44,632","47,387","46,696",44,6.2,-1.5,54,Michigan
Baraga,"38,448","40,312","39,740",82,4.8,-1.4,52,Michigan
Barry,"49,305","53,016","54,157",21,7.5,2.2,8,Michigan
Bay,"47,030","50,367","49,667",28,7.1,-1.4,51,Michigan
Benzie,"52,454","54,451","54,784",20,3.8,0.6,17,Michigan
Berrien,"53,645","59,719","60,311",11,11.3,1,15,Michigan
Branch,"40,186","43,064","43,040",67,7.2,-0.1,27,Michigan
Calhoun,"43,593","45,582","44,904",55,4.6,-1.5,55,Michigan
Cass,"50,306","54,661","54,937",17,8.7,0.5,18,Michigan
Charlevoix,"58,198","64,617","66,669",7,11,3.2,4,Michigan
Cheboygan,"45,511","47,642","46,687",45,4.7,-2,67,Michigan
Chippewa,"39,605","43,800","42,667",69,10.6,-2.6,69,Michigan
Clare,"39,625","41,227","40,146",81,4,-2.6,71,Michigan
Clinton,"51,423","55,662","56,814",13,8.2,2.1,10,Michigan
Crawford,"41,680","43,337","41,537",74,4,-4.2,80,Michigan
Delta,"43,631","46,144","44,577",57,5.8,-3.4,77,Michigan
Dickinson,"50,727","56,024","54,831",19,10.4,-2.1,68,Michigan
Eaton,"47,613","50,778","50,934",26,6.6,0.3,20,Michigan
Emmet,"62,269","68,593","70,109",4,10.2,2.2,7,Michigan
Genesee,"45,384","48,161","47,564",37,6.1,-1.2,48,Michigan
Gladwin,"42,362","44,172","43,701",64,4.3,-1.1,45,Michigan
Gogebic,"45,369","47,670","47,559",38,5.1,-0.2,29,Michigan
Grand Traverse,"55,639","61,155","62,089",8,9.9,1.5,11,Michigan
Gratiot,"41,458","43,946","43,159",66,6,-1.8,61,Michigan
Hillsdale,"39,728","42,728","41,987",73,7.6,-1.7,60,Michigan
Houghton,"39,927","42,771","42,862",68,7.1,0.2,22,Michigan
Huron,"51,614","56,462","56,230",15,9.4,-0.4,34,Michigan
Ingham,"46,267","51,634","49,577",29,11.6,-4,79,Michigan
Ionia,"37,681","40,862","40,963",78,8.4,0.2,21,Michigan
Iosco,"43,594","46,509","45,770",51,6.7,-1.6,58,Michigan
Iron,"46,460","48,893","47,997",35,5.2,-1.8,64,Michigan
Isabella,"43,262","45,590","44,825",56,5.4,-1.7,59,Michigan
Jackson,"43,423","46,886","46,409",48,8,-1,41,Michigan
Kalamazoo,"54,818","58,792","59,619",12,7.2,1.4,12,Michigan
Kalkaska,"40,973","43,477","42,182",72,6.1,-3,74,Michigan
Kent,"59,254","65,315","66,975",6,10.2,2.5,6,Michigan
Keweenaw,"54,033","55,497","54,933",18,2.7,-1,40,Michigan
Lake,"37,856","38,712","36,434",83,2.3,-5.9,82,Michigan
Lapeer,"48,910","50,739","50,575",27,3.7,-0.3,31,Michigan
Leelanau,"73,012","79,109","81,805",2,8.4,3.4,2,Michigan
Lenawee,"44,325","47,513","47,538",39,7.2,0.1,26,Michigan
Livingston,"62,417","67,212","69,299",5,7.7,3.1,5,Michigan
Luce,"40,368","43,331","42,206",71,7.3,-2.6,70,Michigan
Mackinac,"49,480","52,639","52,074",25,6.4,-1.1,46,Michigan
Macomb,"50,883","53,727","53,817",22,5.6,0.2,23,Michigan
Manistee,"43,321","46,167","45,533",53,6.6,-1.4,50,Michigan
Marquette,"44,162","47,987","46,466",47,8.7,-3.2,76,Michigan
Mason,"45,625","48,399","47,049",42,6.1,-2.8,73,Michigan
Mecosta,"40,832","44,121","42,483",70,8.1,-3.7,78,Michigan
Menominee,"44,375","47,679","47,289",41,7.4,-0.8,37,Michigan
Midland,"56,589","60,150","60,842",10,6.3,1.2,14,Michigan
Missaukee,"41,073","44,053","43,667",65,7.3,-0.9,38,Michigan
Monroe,"49,721","52,634","52,998",23,5.9,0.7,16,Michigan
Montcalm,"37,785","40,752","40,725",79,7.9,-0.1,28,Michigan
Montmorency,"42,569","43,429","41,440",75,2,-4.6,81,Michigan
Muskegon,"43,376","46,019","45,571",52,6.1,-1,39,Michigan
Newaygo,"41,767","44,607","44,140",60,6.8,-1,44,Michigan
Oakland,"76,404","81,822","84,850",1,7.1,3.7,1,Michigan
Oceana,"42,975","45,596","44,970",54,6.1,-1.4,49,Michigan
Ogemaw,"39,412","42,417","41,120",77,7.6,-3.1,75,Michigan
Ontonagon,"44,613","46,981","46,661",46,5.3,-0.7,35,Michigan
Osceola,"42,881","45,088","44,549",58,5.1,-1.2,47,Michigan
Oscoda,"37,402","40,879","40,566",80,9.3,-0.8,36,Michigan
Otsego,"45,759","49,550","48,201",34,8.3,-2.7,72,Michigan
Ottawa,"53,553","59,069","61,018",9,10.3,3.3,3,Michigan
Presque Isle,"44,900","46,911","46,239",49,4.5,-1.4,53,Michigan
Roscommon,"42,735","44,507","43,813",62,4.1,-1.6,57,Michigan
Saginaw,"45,686","48,577","47,700",36,6.3,-1.8,62,Michigan
St. Clair,"49,920","52,388","52,557",24,4.9,0.3,19,Michigan
St. Joseph,"42,894","47,116","46,935",43,9.8,-0.4,33,Michigan
Sanilac,"43,832","46,897","46,189",50,7,-1.5,56,Michigan
Schoolcraft,"45,316","47,491","44,401",59,4.8,-6.5,83,Michigan
Shiawassee,"44,642","47,595","47,427",40,6.6,-0.4,32,Michigan
Tuscola,"41,683","44,605","43,797",63,7,-1.8,63,Michigan
Van Buren,"46,525","49,479","49,542",30,6.3,0.1,25,Michigan
Washtenaw,"64,606","69,892","71,368",3,8.2,2.1,9,Michigan
Wayne,"46,416","49,009","48,509",33,5.6,-1,42,Michigan
Wexford,"41,631","44,683","43,862",61,7.3,-1.8,65,Michigan
Aitkin,"46,769","50,228","49,907",83,7.4,-0.6,76,Minnesota
Anoka,"55,673","59,002","60,371",37,6,2.3,49,Minnesota
Becker,"51,352","56,258","57,505",52,9.6,2.2,51,Minnesota
Beltrami,"47,070","51,023","50,351",81,8.4,-1.3,81,Minnesota
Benton,"49,656","53,384","54,255",68,7.5,1.6,63,Minnesota
Big Stone,"57,554","65,566","70,199",10,13.9,7.1,8,Minnesota
Blue Earth,"48,273","51,478","52,838",74,6.6,2.6,45,Minnesota
Brown,"56,786","60,005","62,169",30,5.7,3.6,28,Minnesota
Carlton,"46,736","49,897","50,247",82,6.8,0.7,70,Minnesota
Carver,"75,745","82,905","87,095",2,9.5,5.1,16,Minnesota
Cass,"50,831","57,731","55,921",60,13.6,-3.1,86,Minnesota
Chippewa,"48,306","54,013","56,075",59,11.8,3.8,25,Minnesota
Chisago,"53,893","57,659","58,812",47,7,2,57,Minnesota
Clay,"46,496","50,745","50,963",80,9.1,0.4,72,Minnesota
Clearwater,"51,331","54,418","53,431",71,6,-1.8,83,Minnesota
Cook,"55,152","57,393","56,795",55,4.1,-1,79,Minnesota
Cottonwood,"54,103","58,588","63,158",26,8.3,7.8,6,Minnesota
Crow Wing,"48,945","54,674","52,837",75,11.7,-3.4,87,Minnesota
Dakota,"63,327","67,665","69,984",12,6.9,3.4,31,Minnesota
Dodge,"52,442","58,319","59,029",45,11.2,1.2,67,Minnesota
Douglas,"55,797","61,045","62,524",29,9.4,2.4,46,Minnesota
Faribault,"47,749","54,044","55,751",61,13.2,3.2,38,Minnesota
Fillmore,"49,719","53,993","55,598",63,8.6,3,40,Minnesota
Freeborn,"48,796","54,069","55,377",64,10.8,2.4,47,Minnesota
Goodhue,"56,574","61,067","64,004",23,7.9,4.8,19,Minnesota
Grant,"53,891","57,464","62,120",31,6.6,8.1,5,Minnesota
Hennepin,"77,672","86,466","89,851",1,11.3,3.9,24,Minnesota
Houston,"54,952","58,340","60,012",39,6.2,2.9,42,Minnesota
Hubbard,"56,054","59,550","58,593",48,6.2,-1.6,82,Minnesota
Isanti,"49,420","52,118","52,421",76,5.5,0.6,71,Minnesota
Itasca,"48,304","51,428","51,540",78,6.5,0.2,73,Minnesota
Jackson,"57,918","61,343","63,573",25,5.9,3.6,27,Minnesota
Kanabec,"49,141","51,166","49,855",84,4.1,-2.6,85,Minnesota
Kandiyohi,"53,706","57,707","59,505",43,7.4,3.1,39,Minnesota
Kittson,"61,578","66,962","70,075",11,8.7,4.6,21,Minnesota
Koochiching,"47,452","50,426","52,953",73,6.3,5,17,Minnesota
Lac qui Parle,"56,610","63,800","69,224",13,12.7,8.5,4,Minnesota
Lake,"48,975","53,448","53,022",72,9.1,-0.8,77,Minnesota
Lake of the Woods,"56,985","59,741","59,614",42,4.8,-0.2,74,Minnesota
Le Sueur,"54,860","59,388","60,691",35,8.3,2.2,52,Minnesota
Lincoln,"50,715","57,383","60,496",36,13.1,5.4,14,Minnesota
Lyon,"54,014","58,409","60,291",38,8.1,3.2,36,Minnesota
McLeod,"52,260","56,852","57,593",50,8.8,1.3,66,Minnesota
Mahnomen,"41,450","47,862","48,646",85,15.5,1.6,62,Minnesota
Marshall,"65,146","72,553","75,929",5,11.4,4.7,20,Minnesota
Martin,"54,004","60,366","62,814",27,11.8,4.1,23,Minnesota
Meeker,"48,659","52,947","54,758",67,8.8,3.4,32,Minnesota
Mille Lacs,"47,943","50,859","51,382",79,6.1,1,69,Minnesota
Morrison,"46,998","50,615","51,545",77,7.7,1.8,58,Minnesota
Mower,"50,841","52,709","53,835",69,3.7,2.1,55,Minnesota
Murray,"61,289","63,830","67,739",14,4.1,6.1,11,Minnesota
Nicollet,"52,901","56,401","57,972",49,6.6,2.8,43,Minnesota
Nobles,"51,209","54,238","56,111",58,5.9,3.5,30,Minnesota
Norman,"49,668","58,749","59,759",41,18.3,1.7,59,Minnesota
Olmsted,"61,338","66,122","67,547",15,7.8,2.2,54,Minnesota
Otter Tail,"52,985","55,912","56,751",56,5.5,1.5,64,Minnesota
Pennington,"59,311","65,236","66,187",19,10,1.5,65,Minnesota
Pine,"42,853","46,100","45,189",87,7.6,-2,84,Minnesota
Pipestone,"56,510","63,518","67,463",16,12.4,6.2,10,Minnesota
Polk,"53,411","59,211","58,902",46,10.9,-0.5,75,Minnesota
Pope,"56,394","61,404","63,742",24,8.9,3.8,26,Minnesota
Ramsey,"57,421","63,856","65,358",20,11.2,2.4,48,Minnesota
Red Lake,"57,302","68,711","73,275",8,19.9,6.6,9,Minnesota
Redwood,"59,845","68,997","74,117",7,15.3,7.4,7,Minnesota
Renville,"55,169","62,335","64,443",22,13,3.4,33,Minnesota
Rice,"48,029","52,411","53,548",70,9.1,2.2,53,Minnesota
Rock,"55,672","57,570","61,054",33,3.4,6.1,12,Minnesota
Roseau,"53,534","60,501","61,228",32,13,1.2,68,Minnesota
St. Louis,"50,553","55,626","56,572",57,10,1.7,60,Minnesota
Scott,"65,678","71,730","75,427",6,9.2,5.2,15,Minnesota
Sherburne,"52,264","55,846","57,102",53,6.9,2.2,50,Minnesota
Sibley,"53,591","58,016","59,859",40,8.3,3.2,37,Minnesota
Stearns,"54,121","58,117","59,296",44,7.4,2,56,Minnesota
Steele,"50,087","55,493","54,862",65,10.8,-1.1,80,Minnesota
Stevens,"55,108","59,873","65,210",21,8.6,8.9,3,Minnesota
Swift,"52,260","59,464","66,769",17,13.8,12.3,2,Minnesota
Todd,"43,567","54,237","55,702",62,24.5,2.7,44,Minnesota
Traverse,"66,746","75,016","85,621",3,12.4,14.1,1,Minnesota
Wabasha,"55,911","59,810","60,826",34,7,1.7,61,Minnesota
Wadena,"43,551","47,138","46,673",86,8.2,-1,78,Minnesota
Waseca,"46,760","53,283","54,858",66,13.9,3,41,Minnesota
Washington,"71,110","76,380","79,814",4,7.4,4.5,22,Minnesota
Watonwan,"49,424","55,211","57,027",54,11.7,3.3,34,Minnesota
Wilkin,"57,343","67,295","70,544",9,17.4,4.8,18,Minnesota
Winona,"54,757","55,687","57,508",51,1.7,3.3,35,Minnesota
Wright,"56,703","60,392","62,559",28,6.5,3.6,29,Minnesota
Yellow Medicine,"60,894","62,577","66,190",18,2.8,5.8,13,Minnesota
Adams,"39,569","45,648","45,499",21,15.4,-0.3,28,Mississippi
Alcorn,"41,748","44,193","44,977",23,5.9,1.8,10,Mississippi
Amite,"34,858","38,598","38,352",67,10.7,-0.6,31,Mississippi
Attala,"39,490","42,979","42,974",37,8.8,0,23,Mississippi
Benton,"38,670","42,160","41,473",48,9,-1.6,44,Mississippi
Bolivar,"41,886","48,200","46,870",13,15.1,-2.8,56,Mississippi
Calhoun,"39,742","43,053","40,370",55,8.3,-6.2,70,Mississippi
Carroll,"41,184","45,259","43,091",36,9.9,-4.8,68,Mississippi
Chickasaw,"38,361","40,938","38,994",63,6.7,-4.7,67,Mississippi
Choctaw,"37,531","41,494","40,869",51,10.6,-1.5,40,Mississippi
Claiborne,"34,072","37,283","34,993",78,9.4,-6.1,69,Mississippi
Clarke,"40,434","42,889","42,841",38,6.1,-0.1,25,Mississippi
Clay,"42,715","47,800","47,654",9,11.9,-0.3,27,Mississippi
Coahoma,"41,240","46,482","43,389",32,12.7,-6.7,72,Mississippi
Copiah,"36,560","39,628","39,091",62,8.4,-1.4,38,Mississippi
Covington,"39,401","44,187","44,781",24,12.1,1.3,11,Mississippi
DeSoto,"47,190","51,890","52,264",3,10,0.7,16,Mississippi
Forrest,"40,128","42,985","42,294",42,7.1,-1.6,43,Mississippi
Franklin,"38,871","40,662","40,035",57,4.6,-1.5,41,Mississippi
George,"37,810","39,462","38,730",64,4.4,-1.9,46,Mississippi
Greene,"31,376","33,441","32,650",81,6.6,-2.4,51,Mississippi
Grenada,"38,849","43,251","42,556",41,11.3,-1.6,42,Mississippi
Hancock,"40,802","44,878","44,384",26,10,-1.1,37,Mississippi
Harrison,"41,786","46,316","46,211",16,10.8,-0.2,26,Mississippi
Hinds,"44,309","47,035","46,854",14,6.2,-0.4,29,Mississippi
Holmes,"33,075","37,402","33,929",80,13.1,-9.3,76,Mississippi
Humphreys,"39,209","44,369","39,467",59,13.2,-11,80,Mississippi
Issaquena,"30,808","36,224","24,489",82,17.6,-32.4,82,Mississippi
Itawamba,"38,779","41,844","41,069",50,7.9,-1.9,45,Mississippi
Jackson,"41,475","45,875","45,912",19,10.6,0.1,22,Mississippi
Jasper,"41,472","45,041","47,150",11,8.6,4.7,1,Mississippi
Jefferson,"36,308","39,172","37,639",69,7.9,-3.9,64,Mississippi
Jefferson Davis,"33,080","36,527","36,150",75,10.4,-1,36,Mississippi
Jones,"40,962","44,633","46,073",18,9,3.2,6,Mississippi
Kemper,"35,442","38,474","37,006",72,8.6,-3.8,61,Mississippi
Lafayette,"45,888","49,225","49,498",5,7.3,0.6,20,Mississippi
Lamar,"43,774","48,053","48,473",6,9.8,0.9,14,Mississippi
Lauderdale,"44,162","47,129","47,116",12,6.7,0,24,Mississippi
Lawrence,"38,254","43,032","44,184",28,12.5,2.7,8,Mississippi
Leake,"34,832","40,301","41,790",45,15.7,3.7,3,Mississippi
Lee,"47,155","52,406","52,044",4,11.1,-0.7,32,Mississippi
Leflore,"42,307","50,036","46,712",15,18.3,-6.6,71,Mississippi
Lincoln,"41,303","44,397","44,609",25,7.5,0.5,21,Mississippi
Lowndes,"43,591","47,941","48,254",7,10,0.7,19,Mississippi
Madison,"69,053","76,927","79,410",1,11.4,3.2,5,Mississippi
Marion,"39,296","41,250","41,528",46,5,0.7,18,Mississippi
Marshall,"41,023","44,391","42,663",40,8.2,-3.9,63,Mississippi
Monroe,"40,697","44,289","43,389",32,8.8,-2,48,Mississippi
Montgomery,"38,396","42,267","41,475",47,10.1,-1.9,47,Mississippi
Neshoba,"40,155","44,273","45,615",20,10.3,3,7,Mississippi
Newton,"36,842","41,248","40,283",56,12,-2.3,50,Mississippi
Noxubee,"37,733","45,202","40,442",53,19.8,-10.5,78,Mississippi
Oktibbeha,"36,752","39,418","39,127",61,7.3,-0.7,33,Mississippi
Panola,"38,738","42,386","40,423",54,9.4,-4.6,65,Mississippi
Pearl River,"40,812","43,326","43,108",35,6.2,-0.5,30,Mississippi
Perry,"35,650","37,591","36,322",73,5.4,-3.4,58,Mississippi
Pike,"34,165","37,710","36,311",74,10.4,-3.7,59,Mississippi
Pontotoc,"38,578","42,520","41,472",49,10.2,-2.5,53,Mississippi
Prentiss,"35,645","38,465","37,543",71,7.9,-2.4,52,Mississippi
Quitman,"35,671","42,673","38,209",68,19.6,-10.5,77,Mississippi
Rankin,"48,414","52,636","53,715",2,8.7,2,9,Mississippi
Scott,"33,274","38,040","38,488",65,14.3,1.2,12,Mississippi
Sharkey,"43,291","53,238","46,097",17,23,-13.4,81,Mississippi
Simpson,"40,720","44,942","45,331",22,10.4,0.9,15,Mississippi
Smith,"40,289","45,239","47,234",10,12.3,4.4,2,Mississippi
Stone,"37,256","39,762","39,362",60,6.7,-1,34,Mississippi
Sunflower,"33,719","37,991","34,856",79,12.7,-8.3,75,Mississippi
Tallahatchie,"35,935","43,085","38,454",66,19.9,-10.7,79,Mississippi
Tate,"40,853","44,775","43,334",34,9.6,-3.2,57,Mississippi
Tippah,"42,488","44,547","42,820",39,4.8,-3.9,62,Mississippi
Tishomingo,"39,063","41,836","42,280",43,7.1,1.1,13,Mississippi
Tunica,"37,682","43,065","39,641",58,14.3,-8,74,Mississippi
Union,"38,025","41,401","40,800",52,8.9,-1.5,39,Mississippi
Walthall,"34,888","38,578","37,585",70,10.6,-2.6,54,Mississippi
Warren,"45,251","48,589","48,089",8,7.4,-1,35,Mississippi
Washington,"41,199","45,649","43,492",31,10.8,-4.7,66,Mississippi
Wayne,"38,064","42,700","44,185",27,12.2,3.5,4,Mississippi
Webster,"41,776","44,969","43,764",29,7.6,-2.7,55,Mississippi
Wilkinson,"34,228","36,909","35,523",76,7.8,-3.8,60,Mississippi
Winston,"39,149","43,450","43,763",30,11,0.7,17,Mississippi
Yalobusha,"40,318","42,942","41,940",44,6.5,-2.3,49,Mississippi
Yazoo,"33,969","37,590","34,998",77,10.7,-6.9,73,Mississippi
Adair,"35,518","36,919","36,808",111,3.9,-0.3,93,Missouri
Andrew,"47,008","50,506","51,102",19,7.4,1.2,58,Missouri
Atchison,"49,495","53,650","55,136",11,8.4,2.8,28,Missouri
Audrain,"40,405","43,626","44,123",63,8,1.1,60,Missouri
Barry,"38,451","41,410","43,879",67,7.7,6,4,Missouri
Barton,"40,790","42,419","43,872",68,4,3.4,15,Missouri
Bates,"45,525","47,311","47,420",43,3.9,0.2,85,Missouri
Benton,"41,664","43,115","43,787",70,3.5,1.6,49,Missouri
Bollinger,"42,750","44,894","45,696",55,5,1.8,46,Missouri
Boone,"50,869","54,260","55,395",10,6.7,2.1,37,Missouri
Buchanan,"43,656","46,613","47,415",44,6.8,1.7,47,Missouri
Butler,"40,525","42,945","43,455",73,6,1.2,57,Missouri
Caldwell,"42,857","45,115","45,520",57,5.3,0.9,70,Missouri
Callaway,"43,232","45,214","45,695",56,4.6,1.1,64,Missouri
Camden,"46,029","54,076","49,961",25,17.5,-7.6,115,Missouri
Cape Girardeau,"46,142","48,394","49,636",28,4.9,2.6,32,Missouri
Carroll,"50,623","56,435","58,797",5,11.5,4.2,8,Missouri
Carter,"42,804","44,908","46,372",53,4.9,3.3,20,Missouri
Cass,"51,424","54,169","55,712",9,5.3,2.8,26,Missouri
Cedar,"34,477","36,272","36,483",114,5.2,0.6,78,Missouri
Chariton,"47,478","51,535","51,137",18,8.5,-0.8,101,Missouri
Christian,"45,626","48,494","49,503",29,6.3,2.1,38,Missouri
Clark,"41,567","43,654","44,235",62,5,1.3,54,Missouri
Clay,"52,111","55,214","55,738",8,6,0.9,69,Missouri
Clinton,"45,629","47,489","48,009",36,4.1,1.1,62,Missouri
Cole,"52,041","54,913","56,258",6,5.5,2.4,34,Missouri
Cooper,"45,369","49,543","50,054",24,9.2,1,65,Missouri
Crawford,"39,853","43,306","43,825",69,8.7,1.2,56,Missouri
Dade,"37,978","41,182","42,280",83,8.4,2.7,30,Missouri
Dallas,"36,350","38,682","39,460",103,6.4,2,40,Missouri
Daviess,"36,388","37,792","36,926",110,3.9,-2.3,108,Missouri
DeKalb,"34,573","35,685","37,167",109,3.2,4.2,11,Missouri
Dent,"39,617","41,410","41,129",92,4.5,-0.7,100,Missouri
Douglas,"35,575","37,601","36,760",113,5.7,-2.2,107,Missouri
Dunklin,"38,660","43,551","43,916",66,12.7,0.8,73,Missouri
Franklin,"49,320","52,066","53,957",12,5.6,3.6,14,Missouri
Gasconade,"43,786","46,030","46,910",50,5.1,1.9,44,Missouri
Gentry,"48,483","50,472","49,023",31,4.1,-2.9,110,Missouri
Greene,"47,751","50,365","51,938",15,5.5,3.1,23,Missouri
Grundy,"38,384","40,924","40,595",96,6.6,-0.8,102,Missouri
Harrison,"41,281","43,645","43,446",74,5.7,-0.5,96,Missouri
Henry,"45,220","48,358","48,899",33,6.9,1.1,61,Missouri
Hickory,"36,842","38,960","39,084",104,5.7,0.3,83,Missouri
Holt,"56,520","57,862","60,269",4,2.4,4.2,10,Missouri
Howard,"43,993","47,819","47,809",37,8.7,0,91,Missouri
Howell,"38,338","40,430","40,595",96,5.5,0.4,80,Missouri
Iron,"38,255","40,962","41,712",88,7.1,1.8,45,Missouri
Jackson,"49,572","52,436","53,153",13,5.8,1.4,53,Missouri
Jasper,"40,826","43,402","44,028",64,6.3,1.4,51,Missouri
Jefferson,"46,606","49,802","51,143",17,6.9,2.7,29,Missouri
Johnson,"40,193","46,616","43,156",77,16,-7.4,114,Missouri
Knox,"41,397","43,668","43,232",76,5.5,-1,103,Missouri
Laclede,"39,132","42,233","43,659",71,7.9,3.4,17,Missouri
Lafayette,"45,937","49,577","50,109",23,7.9,1.1,63,Missouri
Lawrence,"37,046","39,561","40,360",99,6.8,2,39,Missouri
Lewis,"37,876","41,052","41,383",90,8.4,0.8,75,Missouri
Lincoln,"44,878","48,179","49,802",26,7.4,3.4,18,Missouri
Linn,"43,084","45,104","45,212",59,4.7,0.2,84,Missouri
Livingston,"45,595","47,636","47,712",38,4.5,0.2,87,Missouri
McDonald,"31,987","34,982","37,419",107,9.4,7,2,Missouri
Macon,"44,504","47,858","50,361",21,7.5,5.2,5,Missouri
Madison,"39,246","40,455","40,923",94,3.1,1.2,59,Missouri
Maries,"38,856","41,106","40,939",93,5.8,-0.4,95,Missouri
Marion,"44,923","47,763","48,850",34,6.3,2.3,36,Missouri
Mercer,"36,420","39,291","37,419",107,7.9,-4.8,112,Missouri
Miller,"41,095","43,294","43,393",75,5.4,0.2,86,Missouri
Mississippi,"37,847","41,414","42,471",81,9.4,2.6,33,Missouri
Moniteau,"44,082","45,290","47,605",40,2.7,5.1,6,Missouri
Monroe,"43,752","47,598","47,378",45,8.8,-0.5,97,Missouri
Montgomery,"45,389","49,352","49,676",27,8.7,0.7,77,Missouri
Morgan,"44,679","44,431","47,574",41,-0.6,7.1,1,Missouri
New Madrid,"42,227","49,560","50,951",20,17.4,2.8,27,Missouri
Newton,"42,210","44,900","46,705",51,6.4,4,12,Missouri
Nodaway,"38,166","39,999","41,353",91,4.8,3.4,16,Missouri
Oregon,"40,403","42,847","42,614",80,6,-0.5,98,Missouri
Osage,"49,062","50,763","52,883",14,3.5,4.2,9,Missouri
Ozark,"37,372","38,926","39,465",102,4.2,1.4,52,Missouri
Pemiscot,"40,447","46,633","46,684",52,15.3,0.1,89,Missouri
Perry,"45,763","48,271","49,020",32,5.5,1.6,50,Missouri
Pettis,"40,113","43,430","44,298",61,8.3,2,41,Missouri
Phelps,"42,234","43,902","43,954",65,3.9,0.1,88,Missouri
Pike,"39,401","41,025","41,389",89,4.1,0.9,71,Missouri
Platte,"60,173","65,615","68,510",2,9,4.4,7,Missouri
Polk,"39,168","41,427","42,224",84,5.8,1.9,43,Missouri
Pulaski,"43,815","44,888","43,627",72,2.4,-2.8,109,Missouri
Putnam,"39,855","42,307","40,728",95,6.2,-3.7,111,Missouri
Ralls,"44,531","46,889","47,343",46,5.3,1,68,Missouri
Randolph,"43,576","47,977","48,170",35,10.1,0.4,81,Missouri
Ray,"45,725","47,571","47,520",42,4,-0.1,92,Missouri
Reynolds,"38,223","40,342","40,496",98,5.5,0.4,82,Missouri
Ripley,"42,379","45,048","45,501",58,6.3,1,67,Missouri
St. Charles,"58,150","62,225","64,563",3,7,3.8,13,Missouri
St. Clair,"34,116","36,989","36,765",112,8.4,-0.6,99,Missouri
Ste. Genevieve,"44,011","46,786","47,262",47,6.3,1,66,Missouri
St. Francois,"38,680","41,026","42,028",85,6.1,2.4,35,Missouri
St. Louis,"78,750","87,474","93,405",1,11.1,6.8,3,Missouri
Saline,"41,564","44,915","46,078",54,8.1,2.6,31,Missouri
Schuyler,"37,774","39,709","40,058",101,5.1,0.9,72,Missouri
Scotland,"41,358","46,979","47,207",48,13.6,0.5,79,Missouri
Scott,"44,870","48,843","50,298",22,8.9,3,24,Missouri
Shannon,"39,213","40,938","40,142",100,4.4,-1.9,106,Missouri
Shelby,"43,446","49,063","49,093",30,12.9,0.1,90,Missouri
Stoddard,"40,162","46,210","47,705",39,15.1,3.2,21,Missouri
Stone,"44,065","46,590","46,958",49,5.7,0.8,76,Missouri
Sullivan,"44,544","45,592","42,918",78,2.4,-5.9,113,Missouri
Taney,"38,930","43,685","44,933",60,12.2,2.9,25,Missouri
Texas,"34,497","36,586","36,058",115,6.1,-1.4,105,Missouri
Vernon,"39,879","42,344","42,852",79,6.2,1.2,55,Missouri
Warren,"46,660","49,910","51,472",16,7,3.1,22,Missouri
Washington,"34,880","37,285","37,597",106,6.9,0.8,74,Missouri
Wayne,"39,468","41,702","42,370",82,5.7,1.6,48,Missouri
Webster,"37,889","41,029","41,845",86,8.3,2,42,Missouri
Worth,"41,246","41,890","41,738",87,1.6,-0.4,94,Missouri
Wright,"36,178","38,509","38,068",105,6.4,-1.1,104,Missouri
St. Louis City,"50,464","53,965","55,771",7,6.9,3.3,19,Missouri
Beaverhead,"52,324","55,636","60,928",12,6.3,9.5,16,Montana
Big Horn,"35,589","36,109","37,312",54,1.5,3.3,41,Montana
Blaine,"32,615","32,815","36,645",55,0.6,11.7,11,Montana
Broadwater,"47,076","49,643","51,738",33,5.5,4.2,35,Montana
Carbon,"59,163","64,523","68,158",5,9.1,5.6,29,Montana
Carter,"40,860","37,769","41,675",52,-7.6,10.3,12,Montana
Cascade,"50,449","54,549","57,020",21,8.1,4.5,34,Montana
Chouteau,"45,373","40,361","54,873",25,-11,36,1,Montana
Custer,"47,934","49,846","52,621",32,4,5.6,30,Montana
Daniels,"57,145","54,875","63,950",7,-4,16.5,8,Montana
Dawson,"46,552","47,756","49,532",38,2.6,3.7,38,Montana
Deer Lodge,"44,085","46,892","47,934",41,6.4,2.2,46,Montana
